,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
1805,70,Male,Los Angeles,10,74.84,223,0
1816,69,Male,Chicago,5,87.6,176,1
1825,68,Female,Miami,9,74.77,242,1
1826,65,Male,Chicago,18,54.32,106,0
1829,66,Female,New York,15,65.26,179,0
1830,65,Female,New York,10,45.67,322,0
1836,67,Male,Miami,3,66.51,346,0
1840,67,Male,Los Angeles,22,93.2,238,1
1844,67,Male,Chicago,20,95.62,221,0
1850,65,Male,Miami,20,86.19,92,0
1866,70,Male,Los Angeles,12,45.11,142,0
1879,68,Female,Chicago,14,99.12,98,1
1888,67,Male,Chicago,8,65.94,256,1
1889,68,Male,Miami,13,78.48,165,0
1890,65,Female,New York,22,48.18,449,0
1894,70,Female,Miami,12,43.32,372,1
1895,69,Male,Chicago,20,84.15,295,1
1897,65,Male,Los Angeles,12,89.67,108,0
1917,65,Male,Los Angeles,14,73.36,246,1
1922,69,Male,Chicago,22,32.32,394,0
1932,70,Female,Chicago,23,93.96,425,0
1939,67,Male,New York,19,85.82,327,1
1949,70,Female,Chicago,22,65.08,75,1
1957,68,Male,Miami,17,62.06,105,0
1959,66,Female,Miami,2,78.72,258,0
1978,69,Female,Chicago,20,78.89,237,0
1983,69,Female,Chicago,15,42.39,303,1
1993,65,Female,Los Angeles,15,96.73,134,1
2000,66,Female,Los Angeles,4,86.19,265,0
2005,69,Male,Los Angeles,11,35.06,399,0
2016,69,Male,Houston,11,90.08,202,1
2017,69,Female,Miami,19,94.95,127,0
2025,65,Male,Los Angeles,19,69.43,69,0
2028,66,Female,Chicago,4,96.77,224,0
2047,68,Female,Chicago,21,46.46,114,1
2051,70,Male,Houston,17,61.33,120,0
2053,65,Female,Miami,23,68.83,83,1
2059,69,Female,Miami,7,73.85,494,0
2063,67,Female,Houston,13,47.96,368,0
2075,70,Male,New York,9,92.27,392,0
2077,68,Male,Miami,3,47.21,310,1
2095,69,Female,Los Angeles,1,55.39,443,0
2101,68,Female,New York,7,65.18,382,1
2103,70,Female,Miami,15,42.81,267,0
2113,69,Female,Houston,18,75.7,181,1
2116,65,Female,Los Angeles,4,90.83,163,1
2119,67,Male,Los Angeles,16,76.75,99,1
2120,70,Female,Los Angeles,12,69.12,196,1
2122,67,Female,Houston,7,54.84,113,1
2157,70,Female,Los Angeles,1,47.44,424,1
2159,65,Male,New York,2,72.51,140,0
2166,70,Female,Miami,12,46.41,277,1
2179,69,Female,Los Angeles,23,80.39,210,1
2185,66,Male,Los Angeles,2,52.34,162,0
2186,70,Male,New York,6,56.79,388,0
2188,70,Male,Chicago,6,89.06,279,0
2205,65,Male,New York,8,95.88,394,0
2212,65,Female,Los Angeles,22,89.19,110,1
2215,70,Female,Chicago,23,78.36,186,0
2224,68,Female,Miami,2,55.9,326,1
2230,67,Female,Miami,10,64.67,284,0
2236,67,Female,Miami,7,85.1,381,0
2239,67,Female,New York,4,39.5,197,1
2247,67,Male,Chicago,16,93.09,394,1
2254,65,Female,Miami,6,94.59,79,0
2259,65,Female,Los Angeles,22,38.6,110,0
2265,66,Male,Miami,20,64.61,269,1
2275,70,Female,Houston,3,31.79,254,1
2284,67,Female,Chicago,13,83.4,123,1
2287,69,Female,Houston,23,48.29,181,1
2295,65,Male,Houston,24,38.05,451,1
2300,69,Female,Miami,14,32.99,390,0
2302,70,Male,Los Angeles,18,75.19,422,1
2322,69,Female,New York,9,71.07,249,0
2323,68,Male,New York,15,63.74,444,1
2342,69,Female,Houston,3,76.13,265,1
2343,65,Female,Houston,8,58.16,442,1
2347,68,Female,New York,7,58.7,425,0
2352,66,Female,Los Angeles,12,90.1,380,0
2353,68,Male,Chicago,9,97.83,90,1
2356,70,Female,Miami,3,87.1,284,0
2361,70,Male,Los Angeles,2,68.76,161,0
2365,69,Male,Miami,1,44.05,170,1
2380,68,Female,Houston,20,80.14,421,0
2389,70,Female,Chicago,5,67.09,284,0
2412,68,Male,Miami,10,66.5,216,1
2422,68,Female,Chicago,1,39.17,439,1
2431,68,Male,Houston,24,41.26,440,1
2433,68,Female,New York,12,77.8,338,0
2447,65,Male,Houston,3,73.62,77,1
2455,65,Male,Miami,11,93.97,263,1
2463,70,Female,Los Angeles,10,57.81,340,0
2472,66,Female,New York,5,87.77,205,1
2477,67,Male,Miami,24,53.14,443,0
2478,68,Male,Houston,2,30.98,84,0
2480,67,Female,Chicago,2,71.75,272,1
2498,66,Female,Chicago,17,83.25,110,1
2511,67,Female,Miami,8,94.02,251,1
2517,65,Male,Houston,17,91.56,123,1
2531,70,Female,Houston,8,35.18,387,1
2534,69,Female,Chicago,6,72.35,72,0
2541,68,Female,Chicago,15,46.74,469,1
2558,68,Female,Miami,5,33.6,108,1
2559,65,Female,New York,6,59.28,142,0
2568,66,Female,Los Angeles,23,47.73,177,0
2574,67,Male,Houston,24,62.21,204,1
2591,66,Female,Miami,16,58.59,338,1
2603,68,Female,Chicago,3,44.84,191,0
2606,65,Male,Chicago,19,38.67,368,0
2609,67,Female,Los Angeles,10,43.49,464,0
2610,70,Male,Chicago,14,48.8,130,0
2615,69,Female,Miami,5,95.33,358,1
2620,67,Female,Los Angeles,12,75.71,423,1
2624,65,Female,Miami,20,35.62,171,0
2626,67,Male,Chicago,20,32.25,85,1
2635,65,Male,Houston,9,70.72,309,1
2642,70,Male,Los Angeles,23,58.92,475,0
2658,69,Female,Miami,22,33.42,250,0
2662,69,Male,Houston,1,62.25,179,1
2670,69,Female,Chicago,8,51.33,249,1
2677,67,Female,Chicago,22,96.23,112,1
2680,70,Female,Los Angeles,6,65.76,448,0
2704,70,Male,Houston,18,86.14,237,1
2707,70,Male,Houston,15,48.1,415,0
2709,70,Male,Chicago,11,44.46,93,0
2733,65,Male,Los Angeles,13,86.94,496,0
2747,65,Male,Miami,14,43.5,155,0
2754,66,Male,Houston,19,80.73,86,1
2755,70,Female,Los Angeles,21,88.86,155,1
2757,70,Male,New York,6,99.86,354,0
2770,69,Male,Miami,24,90.76,61,0
2791,67,Male,Miami,8,70.85,426,1
2794,65,Female,Chicago,4,87.13,484,0
2800,65,Male,New York,1,55.15,462,0
2804,70,Male,Chicago,24,40.37,459,1
2827,70,Female,Houston,22,64.38,114,0
2833,66,Male,Chicago,3,96.74,183,1
2849,70,Male,Houston,13,94.63,385,0
2856,68,Female,Los Angeles,3,83.42,372,1
2857,67,Female,Houston,6,56.01,171,0
2868,68,Male,Chicago,23,39.71,210,0
2878,65,Female,Chicago,15,61.24,404,1
2893,68,Female,Houston,5,60.18,331,1
2905,67,Male,Los Angeles,20,57.08,104,0
2922,67,Female,Houston,6,51.05,80,1
2942,68,Female,Miami,6,97.15,454,0
2943,66,Female,Houston,15,34.65,443,1
2944,67,Female,Chicago,22,91.6,457,1
2949,68,Female,New York,7,81.68,228,1
2965,65,Female,Miami,18,38.5,220,0
2972,65,Female,Los Angeles,3,97.61,58,0
2973,68,Male,Houston,18,89.84,417,1
2991,65,Male,Chicago,17,65.25,50,1
2993,68,Male,Houston,3,77.05,107,0
3007,67,Male,Chicago,4,70.09,354,1
3016,70,Female,Chicago,1,87.89,152,0
3038,69,Male,Houston,12,96.15,83,1
3041,66,Male,Miami,24,31.11,478,0
3043,67,Male,New York,12,86.21,441,1
3046,68,Female,Miami,17,71.69,284,0
3048,66,Female,Chicago,20,31.93,274,1
3081,68,Female,Houston,17,71.96,127,1
3082,70,Female,New York,21,93.46,366,1
3085,69,Female,Los Angeles,11,96.89,263,0
3089,66,Female,Houston,21,37.25,485,0
3092,69,Male,Miami,4,87.81,194,0
3095,69,Male,Los Angeles,10,69.17,249,0
3102,69,Male,Los Angeles,16,95.97,239,0
3106,68,Female,Houston,5,38.38,302,1
3113,67,Male,New York,14,84.96,425,0
3119,70,Male,Chicago,3,95.28,219,0
3134,66,Female,Chicago,7,72.51,425,1
3136,66,Male,Los Angeles,5,90.35,363,1
3148,69,Female,Houston,23,43.07,284,0
3165,66,Male,Chicago,15,33.53,172,1
3172,66,Female,Los Angeles,23,92.34,161,0
3176,69,Male,New York,5,89.05,166,1
3185,70,Female,Los Angeles,15,91.33,295,1
3194,70,Female,New York,8,92.58,393,1
3197,68,Male,Houston,12,90.88,144,1
3209,66,Female,Houston,2,80.49,75,1
3219,65,Male,Houston,8,66.11,217,1
3227,67,Male,Los Angeles,5,40.54,238,1
3251,69,Male,Miami,2,72.42,393,0
3258,68,Female,Houston,6,64.25,498,1
3270,66,Male,New York,17,31.54,80,1
3281,65,Female,Miami,15,33.72,417,0
3283,70,Male,Miami,23,80.4,482,0
3292,66,Female,Houston,5,91.65,236,0
3303,65,Male,Chicago,22,62.96,320,0
3320,70,Female,Chicago,8,75.22,325,1
3323,68,Male,Miami,13,80.12,482,1
3326,70,Male,Miami,19,30.59,365,0
3336,68,Male,Chicago,19,67.93,127,0
3340,67,Female,New York,5,30.12,284,1
3346,70,Male,Los Angeles,1,65.29,401,0
3351,65,Female,New York,23,33.06,221,0
3364,66,Female,New York,19,58.6,402,1
3375,68,Male,Miami,22,32.27,125,1
3388,70,Female,Miami,5,88.91,342,1
3398,65,Male,Chicago,16,41.27,310,0
3407,67,Female,Chicago,10,45.57,395,0
3435,70,Female,Los Angeles,9,59.82,396,1
3453,66,Female,Los Angeles,19,55.6,362,1
3459,68,Female,Miami,17,44.01,73,1
3461,66,Female,Los Angeles,10,41.5,294,1
3462,65,Male,Miami,15,32.38,156,1
3470,67,Male,Chicago,19,51.85,239,1
3472,69,Female,Los Angeles,19,52.21,426,1
3478,66,Male,Miami,13,58.5,140,1
3482,69,Female,Houston,2,58.79,50,0
3485,65,Male,New York,2,75.31,382,1
3496,67,Male,Houston,4,48.68,98,0
3505,65,Female,Houston,17,44.03,230,1
3512,65,Male,Houston,7,85.24,291,1
3519,65,Female,Houston,5,68.84,412,1
3520,66,Male,Chicago,24,64.46,412,0
3534,66,Male,Houston,3,80.04,316,0
3559,69,Female,Miami,19,41.69,75,1
3562,66,Female,Chicago,18,47.89,401,1
3580,69,Female,Los Angeles,1,53.57,273,1
3590,69,Female,New York,20,36.29,440,0
3598,67,Male,Miami,15,51.3,435,0
3663,66,Female,Los Angeles,20,87.78,74,1
3664,70,Male,New York,1,82.61,323,0
3686,70,Female,Houston,12,83.94,137,0
3688,70,Female,Miami,8,40.6,476,1
3693,66,Male,Houston,2,72.04,135,0
3699,66,Male,Los Angeles,14,51.08,295,1
3702,70,Female,Miami,3,36.24,187,1
3705,66,Male,Los Angeles,12,43.95,198,0
3706,68,Male,Chicago,15,35.39,478,0
3709,68,Male,Chicago,12,69.21,336,1
3712,67,Male,Los Angeles,11,83.62,410,0
3723,66,Female,New York,24,37.3,245,1
3727,65,Female,Houston,14,96.46,50,0
3730,69,Male,New York,6,43.22,329,0
3744,70,Male,Chicago,11,97.32,308,1
3746,66,Female,Houston,7,79.35,188,1
3747,67,Female,Houston,20,51.51,281,0
3768,69,Female,Miami,8,44.88,336,1
3770,66,Female,Los Angeles,13,48.5,277,0
3772,66,Female,Houston,12,53.23,110,1
3774,69,Male,Los Angeles,19,66.51,56,0
3779,65,Male,Miami,17,30.88,160,1
3787,70,Male,Miami,17,49.27,359,1
3789,69,Male,Houston,22,47.86,292,0
3795,66,Male,Houston,16,82.69,173,0
3796,65,Male,Chicago,1,31.9,174,1
3804,67,Male,Chicago,16,94.12,84,0
3805,65,Male,Miami,22,72.84,128,0
3828,68,Female,Houston,21,51.54,389,0
3835,70,Male,Chicago,7,34.16,284,0
3836,70,Male,Los Angeles,21,91.14,298,0
3846,65,Female,New York,2,34.24,220,1
3848,65,Male,New York,14,55.61,484,0
3855,69,Female,Houston,16,77.06,402,1
3866,65,Male,Los Angeles,17,88.75,446,1
3881,65,Male,Los Angeles,14,62.6,179,0
3890,65,Male,Los Angeles,12,81.97,391,1
3900,68,Male,Chicago,17,44.29,87,0
3905,68,Female,Los Angeles,10,50.1,240,0
3911,68,Male,Miami,6,77.35,326,0
3919,66,Female,Chicago,4,33.92,239,0
3923,68,Female,Houston,6,31.41,160,0
3924,65,Male,New York,1,36.99,91,1
3926,70,Male,Houston,7,57.46,229,0
3947,66,Male,Houston,8,51.9,343,1
3950,68,Female,Chicago,7,43.94,423,0
3959,67,Female,Miami,2,50.02,476,0
3961,66,Female,Houston,8,64.62,467,0
3963,70,Female,Houston,4,47.4,472,0
3965,70,Male,Miami,1,89.91,299,1
3970,70,Female,Miami,2,67.77,157,0
3971,66,Male,Miami,8,31.44,317,0
3978,70,Male,Los Angeles,23,30.53,336,1
3980,70,Female,Chicago,20,82.54,165,1
3982,69,Male,Chicago,20,43.82,145,0
3988,66,Female,Chicago,7,54.37,333,1
3992,65,Male,New York,2,98.71,120,1
3993,66,Male,Houston,5,91.01,370,0
3999,69,Female,Chicago,3,35.25,310,0
4018,66,Female,Miami,6,68.64,289,1
4021,67,Male,Houston,5,46.95,203,1
4022,65,Female,Miami,9,73.93,225,1
4027,65,Male,New York,1,63.0,384,0
4038,68,Male,New York,5,93.47,79,1
4041,70,Male,Chicago,14,51.82,187,1
4053,68,Female,Miami,15,35.71,441,1
4064,68,Female,New York,12,81.91,353,1
4073,70,Female,Houston,15,41.14,435,1
4077,66,Male,New York,20,49.17,190,1
4090,70,Female,Los Angeles,4,93.67,260,0
4093,68,Male,Houston,16,81.06,497,0
4099,65,Female,Chicago,8,53.93,280,1
4125,67,Male,New York,6,47.63,323,0
4135,65,Male,Houston,23,30.45,165,0
4137,66,Male,Los Angeles,21,32.37,160,1
4138,69,Male,Houston,19,97.74,170,0
4163,68,Male,Chicago,10,76.66,442,1
4180,67,Male,New York,24,93.0,310,0
4207,67,Female,Chicago,3,50.92,494,0
4216,67,Female,Houston,7,30.52,496,0
4230,68,Female,Houston,19,51.82,487,0
4237,66,Female,Los Angeles,16,53.71,414,0
4240,69,Male,Los Angeles,21,59.32,381,0
4242,69,Female,Los Angeles,11,57.87,402,1
4249,67,Male,Miami,22,94.45,314,0
4256,67,Female,Houston,20,93.98,219,1
4258,66,Female,Los Angeles,8,46.32,296,0
4267,67,Female,Miami,20,67.85,133,1
4282,66,Female,Chicago,5,58.33,323,0
4284,69,Female,Los Angeles,6,51.29,231,1
4295,68,Male,Miami,18,78.59,446,1
4302,66,Male,Los Angeles,5,60.85,461,1
4304,67,Female,New York,20,75.38,295,1
4307,68,Female,Miami,23,44.24,415,0
4308,66,Male,New York,11,56.33,145,0
4318,65,Female,Miami,9,81.14,109,0
4319,65,Male,New York,15,87.45,294,0
4322,68,Male,New York,10,99.34,411,0
4324,65,Male,New York,5,49.4,416,0
4336,69,Male,Los Angeles,12,48.71,127,1
4337,68,Male,Chicago,7,40.98,145,0
4350,69,Male,Miami,2,61.45,421,0
4355,68,Female,Chicago,12,54.47,185,0
4357,65,Male,Los Angeles,18,54.34,78,0
4365,66,Male,Chicago,24,39.92,396,1
4376,69,Male,Houston,20,37.27,114,0
4377,70,Female,Houston,1,44.26,319,1
4390,67,Male,New York,2,79.14,305,1
4392,68,Female,Miami,21,92.09,458,1
4395,66,Male,Houston,22,99.1,310,0
4411,69,Male,Houston,23,94.09,112,1
4424,65,Female,Los Angeles,15,89.02,260,0
4427,67,Female,Miami,7,50.66,492,1
4429,69,Male,New York,13,59.74,108,0
4432,68,Female,Houston,6,72.49,279,1
4445,69,Male,Miami,23,47.23,164,1
4448,69,Male,Chicago,9,83.95,289,0
4453,68,Male,New York,15,96.43,62,0
4459,66,Male,Los Angeles,14,76.58,405,1
4482,67,Male,Los Angeles,15,91.74,123,0
4488,66,Male,Houston,17,65.85,356,1
4503,68,Female,New York,2,64.44,212,1
4504,66,Female,Houston,9,77.44,186,0
4514,65,Female,Miami,3,74.64,298,1
4516,67,Female,Houston,2,79.96,294,1
4520,66,Male,Miami,16,47.07,128,1
4526,66,Male,Houston,18,76.81,302,1
4532,66,Male,Miami,22,92.81,211,0
4533,70,Male,New York,5,80.17,320,0
4535,70,Male,Miami,14,62.45,395,1
4539,70,Male,Los Angeles,18,30.62,300,1
4540,68,Male,New York,7,61.4,365,0
4566,66,Female,New York,3,56.0,163,1
4570,70,Female,Miami,23,78.74,106,1
4574,69,Male,Miami,4,47.73,281,1
4578,67,Male,Chicago,1,92.79,122,0
4581,65,Male,New York,16,88.11,78,0
4602,66,Female,Los Angeles,18,47.01,177,1
4603,70,Female,Houston,17,44.0,391,1
4611,66,Female,Los Angeles,11,79.65,65,0
4617,67,Male,Houston,1,61.87,167,0
4639,66,Male,Chicago,12,95.42,129,0
4643,66,Male,Miami,2,92.67,54,1
4670,65,Male,New York,24,93.85,331,1
4674,66,Male,Miami,21,88.88,467,1
4715,70,Male,Chicago,15,39.18,63,0
4717,70,Female,Houston,12,46.71,57,0
4718,66,Female,Chicago,4,72.72,231,0
4725,70,Male,Los Angeles,20,53.49,468,0
4731,66,Female,Miami,22,51.32,478,0
4736,68,Female,New York,17,55.76,148,0
4738,69,Female,Miami,5,62.53,403,0
4747,68,Female,New York,20,83.56,366,1
4763,70,Female,New York,6,48.19,457,1
4768,69,Female,Los Angeles,7,52.86,238,0
4798,68,Female,New York,14,57.93,156,1
4808,68,Female,Los Angeles,18,54.35,381,1
4828,69,Male,New York,22,92.16,311,0
4832,65,Male,New York,6,96.66,115,1
4835,68,Male,Chicago,7,79.5,205,0
4841,66,Male,Chicago,1,33.13,365,0
4866,68,Male,Los Angeles,17,33.34,443,1
4867,70,Female,New York,4,75.55,272,0
4868,70,Male,Chicago,5,74.65,137,1
4875,70,Male,Houston,2,62.03,123,0
4878,66,Male,Chicago,2,77.33,400,1
4879,66,Female,New York,17,41.79,481,0
4885,69,Female,New York,6,44.09,341,1
4894,65,Female,New York,3,40.12,256,0
4903,67,Female,Houston,11,65.78,394,0
4907,66,Female,New York,1,50.8,361,0
4929,67,Female,Chicago,18,65.26,210,1
4931,68,Female,Miami,24,74.02,197,0
4938,65,Male,Miami,3,87.19,60,0
4983,70,Male,New York,23,54.13,432,0
4986,69,Female,Houston,9,43.88,125,1
5008,65,Male,Chicago,1,88.31,352,1
5010,70,Female,New York,21,49.74,447,0
5012,68,Male,Chicago,6,43.96,206,0
5013,69,Female,Houston,18,54.94,363,0
5014,67,Female,Houston,19,91.59,175,1
5019,70,Female,Chicago,13,76.16,361,0
5035,67,Male,New York,6,73.08,160,0
5037,70,Female,Chicago,13,96.34,277,1
5038,66,Female,Los Angeles,2,36.09,96,1
5049,68,Male,Los Angeles,10,69.27,450,1
5055,66,Male,Chicago,15,88.46,58,1
5058,69,Female,Los Angeles,6,48.05,273,1
5062,65,Male,Miami,14,69.14,424,1
5067,70,Male,New York,11,74.38,132,0
5071,66,Male,Chicago,15,65.15,415,1
5075,70,Female,Miami,14,65.95,401,0
5077,68,Female,Los Angeles,18,49.09,114,0
5097,69,Female,Los Angeles,8,32.21,407,1
5106,67,Male,Miami,5,89.35,407,0
5139,67,Female,Miami,14,58.67,304,1
5153,70,Female,Los Angeles,4,76.78,188,1
5166,68,Female,Houston,23,51.49,339,0
5173,65,Female,New York,6,69.04,483,1
5183,69,Male,Los Angeles,1,61.31,113,1
5199,70,Male,Miami,17,94.87,318,0
5210,70,Male,Miami,12,46.36,332,1
5212,68,Male,New York,22,97.54,302,1
5220,65,Male,Houston,7,44.61,288,0
5223,68,Male,Los Angeles,10,49.82,500,1
5230,70,Female,Miami,8,94.4,254,1
5236,69,Male,Los Angeles,2,80.73,356,1
5242,70,Female,Chicago,4,97.92,353,0
5244,68,Male,Houston,10,72.06,311,1
5245,68,Male,New York,21,38.06,274,1
5249,68,Female,New York,23,40.89,167,1
5253,66,Male,Chicago,22,34.66,94,0
5257,69,Female,Miami,14,63.12,417,1
5271,67,Male,Miami,1,46.02,144,0
5278,66,Female,Chicago,9,44.13,454,1
5283,66,Female,Houston,4,76.6,288,0
5285,70,Male,New York,13,46.62,233,0
5301,70,Male,New York,12,59.35,340,0
5304,70,Female,Houston,10,50.28,356,1
5308,69,Female,Houston,5,86.47,476,1
5321,70,Female,Houston,13,62.27,228,0
5322,66,Female,New York,15,83.64,494,1
5328,69,Female,Houston,8,43.85,55,1
5342,66,Male,Houston,16,33.51,446,1
5347,65,Female,New York,1,81.34,473,1
5350,70,Female,Los Angeles,21,39.5,305,1
5352,66,Male,Houston,18,69.85,495,0
5355,70,Female,Houston,23,65.0,431,1
5361,66,Male,Houston,8,56.94,153,1
